"Number","Valid from","Latitude [°]","Longitude [°]","Altitude [m]","Slope [°]","Orientation [°]","Locationclass","Surrounding area"
135,2007-01-01 00:00:00,46.88067853117767,15.90903749112073,305.00,3.0000,230.00,"lower slope","partially tilled area"
135,2009-12-31 23:00:00,46.88067853117767,15.90903749112073,305.00,3.0000,230.00,"lower slope","partially tilled area"
136,2007-01-01 00:00:00,46.87981937194506,15.930974609957977,328.00,10.000,330.00,"at the base of the slope","partially tilled area"
136,2024-12-06 00:00:00,46.8797170000000,15.9298140000000,325.00,20.000,345.00,"at the base of the slope","partially tilled area"
137,2007-01-01 00:00:00,46.87995985391566,15.945542689015802,364.00,0.0000,,"hilltop","untilled area"
138,2007-01-01 00:00:00,46.87980056991103,15.96381032594454,345.00,8.0000,50.000,"upper slope","untilled area"
139,2007-01-01 00:00:00,46.88229088587301,15.98393743627721,307.00,7.0000,350.00,"lower slope","untilled area"
139,2009-12-31 23:00:00,46.88229088587301,15.98393743627721,310.00,7.0000,350.00,"lower slope","untilled area"
140,2007-01-01 00:00:00,46.8828713501917,15.99953535947626,351.00,20.000,50.000,"upper slope","untilled area"
141,2007-01-01 00:00:00,46.86927733453557,15.83434828831571,318.00,12.000,250.00,"middle slope","untilled area"
142,2007-01-01 00:00:00,46.8704878409733,15.8557953494172,308.00,13.000,230.00,"lower slope","untilled area"
143,2007-01-01 00:00:00,46.86855873214613,15.87203327739797,344.00,16.000,230.00,"middle slope","untilled area"
144,2007-01-01 00:00:00,46.8667400000000,15.8903130000000,269.00,0.0000,,"located in the valley","partially tilled area"
145,2007-01-01 00:00:00,46.86818986645782,15.906618685017627,279.00,6.0000,250.00,"lower slope","tilled area"
145,2018-09-19 09:44:00,46.8681898665000,15.9066186850000,279.00,6.0000,250.00,"lower slope","tilled area"
146,2007-01-01 00:00:00,46.86614106762567,15.93304538452686,390.00,0.0000,,"hilltop","untilled area"
147,2007-01-01 00:00:00,46.867071502679934,15.947133466594355,366.00,8.0000,70.000,"upper slope","partially tilled area"
148,2007-01-01 00:00:00,46.87068171737076,15.96809041799767,332.00,6.0000,340.00,"upper slope","partially tilled area"
149,2007-01-01 00:00:00,46.86899261122199,15.988827656642638,331.00,0.0000,,"hilltop","untilled area"
150,2007-01-01 00:00:00,46.86848329650239,16.00587550865077,342.00,4.0000,340.00,"upper slope","partially tilled area"
151,2007-01-01 00:00:00,46.96038727539171,15.850109667335229,288.00,0.0000,,"located in the valley","partially tilled area"
151,2009-12-31 23:00:00,46.96038727539171,15.850109667335229,288.00,0.0000,,"located in the valley","partially tilled area"
151,2010-09-15 11:24:59,46.9610700000000,15.8509600000000,288.00,0.0000,,"located in the valley","untilled area"
152,2007-01-01 00:00:00,46.9553200000000,15.8845210000000,280.00,,,"located in the valley","tilled area"
153,2007-01-01 00:00:00,46.8475000000000,15.9666670000000,380.00,,,"lower slope","partially tilled area"
154,2017-03-31 13:00:00,46.8918070000000,15.9754680000000,471.00,0.0000,,"hilltop","untilled area"
155,2018-02-16 00:00:00,46.9563860000000,15.9150340000000,277.00,0.0000,,"located in the valley","partially tilled area"
156,2020-10-21 00:00:00,46.9581980000000,15.8485760000000,288.00,0.0000,,"located in the valley","tilled area"
157,2015-05-08 08:15:00,46.9821460000000,15.9266930000000,300.00,0.0000,210.00,"located in the valley","untilled area"
201,2020-01-01 00:00:00,46.8452860000000,15.9320530000000,609.00,0.0000,,"hilltop","untilled area"
501,2007-01-01 00:00:00,47.53639999762781,14.59799926700006,920.00,,,"middle slope","untilled area"
502,2007-01-01 00:00:00,47.5312000000000,14.6113000000000,860.00,,,"located in the valley","untilled area"
503,2007-01-01 00:00:00,47.52922467093991,14.67132353776089,1344.0,,,"middle slope","untilled area"
504,2007-01-01 00:00:00,47.49935998690491,14.618850590959752,1969.0,,,"hilltop","untilled area"
505,2007-01-01 00:00:00,47.565399943775695,14.666049431897877,2191.0,,,"hilltop","untilled area"
506,2007-01-01 00:00:00,47.580840985784235,14.591476801937722,590.00,,,"located in the valley","untilled area"
507,2007-01-01 00:00:00,47.51445012281444,14.674510397056274,1690.0,,,"upper slope","untilled area"
508,2007-01-01 00:00:00,47.617327614768485,14.716988869227722,1431.0,,,"upper slope","untilled area"
509,2007-01-01 00:00:00,47.613441035387375,14.699485114299508,1952.0,,,"hilltop","untilled area"
510,2007-01-01 00:00:00,47.5913889000000,14.6288890000000,580.00,,,"unknown","unknown"
511,2007-01-01 00:00:00,47.4847220000000,14.5297220000000,720.00,,,"unknown","unknown"
512,2007-01-01 00:00:00,47.5672200000000,14.5816500000000,635.00,,,"located in the valley","untilled area"
513,2018-01-01 00:00:00,47.6119600000000,14.6053400000000,2100.0,8.0000,90.000,"upper slope","untilled area"
514,2018-01-01 00:00:00,47.6124300000000,14.6042200000000,2089.0,22.000,25.000,"upper slope","untilled area"
515,2021-07-01 00:00:00,47.5913800000000,14.6365900000000,582.00,,,"located in the valley","partially tilled area"
516,2021-09-01 00:00:00,47.57782351155029,14.59058274428622,595.00,,,"located in the valley","untilled area"
517,2018-10-01 00:00:00,47.60070284276713,14.69709695444142,1191.0,,,"middle slope","untilled area"
518,2021-07-01 00:00:00,47.5689500000000,14.5463900000000,1265.0,,,"middle slope","untilled area"
519,2021-07-01 00:00:00,47.5486900000000,14.6188200000000,1540.0,,,"upper slope","untilled area"
550,2015-01-01 00:00:00,47.568630351925904,14.591332448903948,731.00,,,"lower slope","untilled area"
551,2015-11-01 00:00:00,47.59811335774892,14.662325429323868,1154.0,,,"upper slope","untilled area"
552,2015-11-01 00:00:00,47.58101030271047,14.61172886046975,642.00,,,"lower slope","untilled area"
553,2009-01-01 00:00:00,47.537869362223525,14.652228640853494,1500.0,,,"middle slope","untilled area"
554,2009-01-01 00:00:00,47.536682867164615,14.652635100056406,1423.0,,,"middle slope","untilled area"
555,2009-01-01 00:00:00,47.53615264347201,14.65285119372159,1383.0,,,"middle slope","untilled area"
556,2009-01-01 00:00:00,47.53410995216627,14.652798242995873,1282.0,,,"middle slope","untilled area"
557,2009-01-01 00:00:00,47.60451773486299,14.707425667263538,1102.0,,,"middle slope","untilled area"
558,2009-01-01 00:00:00,47.61001034914615,14.727287024507927,693.00,,,"lower slope","untilled area"
559,2009-01-01 00:00:00,47.60898012088318,14.729195054486375,616.00,,,"lower slope","untilled area"
560,2015-01-01 00:00:00,47.595800112585565,14.600472312666193,1037.0,,,"middle slope","untilled area"
561,2015-01-01 00:00:00,47.55974490439977,14.572804695642326,742.00,,,"lower slope","untilled area"
562,2015-01-01 00:00:00,47.55718283754125,14.662588491391778,1741.0,,,"upper slope","untilled area"
563,2009-01-01 00:00:00,47.60511836260985,14.713675404064203,867.00,,,"lower slope","untilled area"
564,2020-01-01 00:00:00,47.59479607561807,14.628347296063106,740.00,,,"lower slope","untilled area"
565,2020-01-01 00:00:00,47.59508175686117,14.62765357419889,755.00,,,"lower slope","untilled area"
1001,2019-02-08 12:00:00,47.0776666666700,15.4489166666667,366.00,0.0000,0.0000,"located in the valley","tilled area"
